metric,value,source
Global VC funding (2025),$318B,Crunchbase Global Funding Report 2025
Total VC deal count (2025),"~28,500",PitchBook-NVCA Venture Monitor Q4 2025
Median seed round size (2025),$3.2M,PitchBook-NVCA Venture Monitor Q4 2025
Median Series A round size (2025),$15.8M,PitchBook-NVCA Venture Monitor Q4 2025
AI/ML startups as % of total VC funding (2025),32%,CB Insights State of AI 2025
US share of global VC funding,51%,Crunchbase Global Funding Report 2025
Y Combinator average batch size (2025),~250 startups,Y Combinator Batch Data
Time between Seed and Series A (median),22 months,PitchBook-NVCA Venture Monitor Q4 2025
Startup failure rate within 5 years,~63%,Startup Genome Failure Report 2025
Unicorn births globally (2025),96,CB Insights Unicorn Tracker 2025
